Gonum	Snum
G0000003	S20913
G0000003	S29736
G0000003	S34222
G0000004	S09189
G0000004	S35200
G0000006	S21239
G0000006	S29299
G0000009	S23649
G0000009	S35149
G0000012	S27093
G0000012	S35194
G0000013	S20906
G0000013	S33234
G0000014	S09261
G0000014	S35296
G0000015	S20987
G0000015	S33231
G0000016	S20664
G0000016	S35181
G0000017	S29290
G0000017	S29295
G0000019	S21004
G0000019	S21033
G0000023	S13263
G0000023	S34139
G0000024	S20934
G0000024	S35266
G0000026	S21168
G0000026	S34166
G0000027	S29255
G0000027	S29824
G0000027	S37803
G0000028	S29242
G0000028	S35234
G0000029	S33371
G0000029	S31154
G0000030	S06128
G0000030	S23653
G0000031	S13232
G0000031	S34133
G0000033	S13248
G0000033	S35286
G0000035	S13271
G0000035	S34221
G0000036	S15649
G0000036	S34254
G0000037	S09262
G0000037	S34245
G0000038	S20910
G0000038	S35267
G0000040	S29274
G0000040	S33198
G0000041	S29926
G0000041	S34132
G0000042	S29240
G0000042	S29834
G0000044	S30011
G0000044	S33177
G0000045	S29245
G0000045	S34119
G0000046	S29241
G0000046	S34118
G0000047	S22588
G0000047	S23402
G0000048	S22682
G0000048	S33379
G0000049	S20912
G0000049	S29814
G0000050	S09276
G0000050	S35140
G0000051	S13231
G0000051	S29745
G0000053	S23629
G0000053	S33209
G0000055	S13268
G0000055	S29737
G0000056	S13293
G0000056	S34207
G0000058	S20928
G0000058	S29766
G0000059	S13278
G0000059	S29820
G0000060	S20946
G0000060	S35144
G0000061	S20948
G0000061	S29791
G0000062	S13307
G0000062	S29747
G0000063	S20963
G0000063	S34231
G0000064	S21084
G0000064	S29797
G0000065	S21156
G0000065	S29815
G0000066	S21170
G0000066	S29762
G0000069	S22612
G0000069	S33356
G0000070	S29505
G0000070	S29506
G0000075	S13951
G0000075	S27088
G0000079	S21020
G0000079	S20667
G0000080	S15650
G0000080	S34262
G0000082	S20935
G0000082	S29803
G0000082	S34084
G0000083	S21505
G0000083	S24604
G0000090	S20649
G0000090	S38651
G0000381	S33250
G0000381	S33251
G0001152	S29936
G0001152	S38644
G0001166	S29940
G0001166	S38708
G0001404	S15643
G0001404	S38692
G0001820	S34091
G0001820	S34092
G0002122	S22538
G0002122	S30976
G0002202	S20654
G0002202	S38627
G0002205	S20634
G0002205	S38643
G0002215	S20637
G0002215	 S39899
G0002240	S29799
G0002240	S38737
G0002333	S29801
G0002333	S37806
G0003132	S20930
G0003132	S38629
G0003148	S20606
G0003148	 S39920
G0003194	S20921
G0003194	S38652
G0003268	S09243
G0003268	S34162
G0003310	S23647
G0003310	 S39902
G0003342	S20623
G0003342	S38626
G0003352	S22885
G0003352	S30974
G0003574	S34223
G0003574	S37805
G0003610	S34212
G0003610	S34214
G0003659	S33504
G0003659	S33505
G0003663	S33357
G0003663	S33529
G0003685	S33477
G0003685	S33631
G0004293	S22593
G0004293	S33391
G0004432	S22608
G0004432	S33465
G0004597	S22605
G0004597	S30983
G0004634	S22884
G0004634	S30973
G0004908	S23345
G0004908	S33373
G0004979	S37889
G0004979	S37973
G0005554	S34500
G0005554	S33395
G0006074	S28660
G0006074	S30123
G0006076	S38680
G0006076	S38711
G0009932	S29440
G0009932	S37205
G0009951	S29382
G0009951	S37186
G0009956	S29344
G0009956	S37181
G0010618	S27091
G0010618	S35183
